Classificador,accuracy,precision,recall,f1,auc,confusion_matrix
Comite,0.6242283950617284,0.6363482173084267,0.6242283950617284,0.6113333353644658,0.6606411822702332,"[[88.88888889 55.11111111]
 [53.11111111 90.88888889]]"
LinearDiscriminantAnalysis,0.6782407407407408,0.6792993895588616,0.6782407407407408,0.6780672776732471,0.7246897505144033,"[[99.66666667 44.33333333]
 [48.33333333 95.66666667]]"
nbpw,0.5158179012345679,0.5109269886001399,0.5158179012345679,0.46574678726636815,0.5198661479766804,"[[74.         70.        ]
 [69.44444444 74.55555556]]"
XGBClassifier,0.587962962962963,0.5881148829354962,0.587962962962963,0.5876749527689997,0.6178385416666667,"[[85.88888889 58.11111111]
 [60.55555556 83.44444444]]"
