Classificador,accuracy,precision,recall,f1,auc,confusion_matrix
Comite,0.7723765432098765,0.7728034443126922,0.7723765432098766,0.7722308579592958,0.8315302426268861,"[[111.          33.        ]
 [ 32.55555556 111.44444444]]"
LinearDiscriminantAnalysis,0.7627314814814815,0.7629700268733273,0.7627314814814815,0.762582296717998,0.8254350994513031,"[[110.11111111  33.88888889]
 [ 34.44444444 109.55555556]]"
nbpw,0.7604166666666666,0.760996012392191,0.7604166666666665,0.7601633565404255,0.81892736196845,"[[110.  34.]
 [ 35. 109.]]"
XGBClassifier,0.7650462962962963,0.7652939035684682,0.7650462962962963,0.7649196625553228,0.8216896004801097,"[[107.88888889  36.11111111]
 [ 31.55555556 112.44444444]]"
