Classificador,accuracy,precision,recall,f1,auc,confusion_matrix
Comite,0.7283333333333333,0.7303766173562697,0.7283333333333333,0.7277701550304343,0.79625,"[[44.7 15.3]
 [17.3 42.7]]"
LinearDiscriminantAnalysis,0.7083333333333334,0.7089033551020067,0.7083333333333334,0.7079300272567679,0.7833194444444445,"[[43.2 16.8]
 [18.2 41.8]]"
nbpw,0.7183333333333333,0.7253557005100908,0.7183333333333333,0.7153501099873154,0.7809444444444444,"[[43.9 16.1]
 [17.7 42.3]]"
XGBClassifier,0.7000000000000001,0.7014579561191527,0.7000000000000001,0.6993014901402352,0.7722777777777778,"[[42.9 17.1]
 [18.9 41.1]]"
