Classificador,accuracy,precision,recall,f1,auc
Comite,0.76,0.7660858418187289,0.76,0.7582623954955954,0.8384166666666667
LinearDiscriminantAnalysis,0.7291666666666667,0.7298389682971375,0.7291666666666667,0.7288155641182639,0.7879027777777778
nbpw,0.6491666666666667,0.6693337211397845,0.6491666666666667,0.6316214055195009,0.7229722222222222
XGBClassifier,0.765,0.7661025395627256,0.765,0.7647590523037252,0.8369027777777778
