subject,CSP_LinearDiscriminantAnalysis,CSP_nbpw,CSP_XGBClassifier,FBCSP_LinearDiscriminantAnalysis,FBCSP_nbpw,FBCSP_XGBClassifier
0,0.5757923468766842,0.5561215911440769,0.5222074755393684,0.6624472573839661,0.6346651386501363,0.6458162527128044
1,0.5293466223698782,0.40490492563900743,0.45825647953307524,0.4983981534960489,0.49863369148338,0.4893867490711107
2,0.5546759030183077,0.5494690918671576,0.49444444444444446,0.5234998909853573,0.5498749652681301,0.5448772595208685
3,0.8040451079760763,0.8065359477124183,0.7972439794248305,0.8822757103594815,0.8373626373626374,0.8783703822749487
4,0.6256202981083762,0.6383802333562114,0.6202362884918482,0.8216203186290623,0.7903380000036558,0.8121590749300116
5,0.4799777530589544,0.49823372503784874,0.4577308120133482,0.6970328677645751,0.6967636239992581,0.7096768592314772
6,0.4979050400737148,0.45718749999999997,0.5069206655413552,0.7430154017120731,0.7262362698340703,0.7346807660919241
7,0.760391909589174,0.7472564017292983,0.7368402828274434,0.7223448665139529,0.7025306371275571,0.7210043290043291
8,0.6567530895889104,0.6377666977924206,0.6513828365075782,0.7444365566838482,0.6881520318176694,0.743043163732819
