subject,CSP_LinearDiscriminantAnalysis,CSP_nbpw,CSP_XGBClassifier,FBCSP_LinearDiscriminantAnalysis,FBCSP_nbpw,FBCSP_XGBClassifier
0,0.664675925925926,0.5500096450617284,0.576688850308642,0.8086149691358024,0.7912938850308642,0.7966883680555555
1,0.5359305532193814,0.49509040660109355,0.47389839711756165,0.5139158516756377,0.5285770446863385,0.4992506187524029
2,0.702764274691358,0.5372699652777778,0.6472217399691358,0.7394999035493828,0.7392496141975309,0.7499204282407408
3,0.7803799093998278,0.6653042594255292,0.6829615852479732,0.8239078151208641,0.797452440827652,0.8138902754105456
4,0.6440835856267304,0.5607407336954071,0.5932131135217424,0.8912517180046038,0.8789079641296702,0.9003764216074183
5,0.5425057870370371,0.5243258101851851,0.5121421682098766,0.7063435570987655,0.6786154513888889,0.6838652584876543
6,0.5714732831790124,0.48332561728395057,0.5041497878086421,0.8783068094135804,0.8517076581790124,0.8782171103395062
7,0.9016082753026573,0.682061276600065,0.7926700122473582,0.8847031672138437,0.8717441544513697,0.873263763316063
8,0.8220905671296297,0.6825327932098766,0.7728342013888889,0.8961323302469135,0.8849416473765432,0.8880063657407407
