subject,CSP_LinearDiscriminantAnalysis,CSP_nbpw,CSP_XGBClassifier,FBCSP_LinearDiscriminantAnalysis,FBCSP_nbpw,FBCSP_XGBClassifier
0,0.6561463597004304,0.48982957669048927,0.5728703201302224,0.8055555555555556,0.8157923319213642,0.8193660442900564
1,0.5099380905832519,0.34584897788902796,0.5027468215350808,0.4960356250678831,0.5336201479189829,0.5208102242585002
2,0.7533264973761988,0.425003185930929,0.6979130246072605,0.8333011769245611,0.8471042471042471,0.8645817006860133
3,0.6249276480802624,0.4405433946520997,0.5060869565217391,0.6346723044397463,0.6106416879918883,0.6348840297984859
4,0.5868005738880918,0.421875,0.48928162132818626,0.809025475326429,0.8018898664059955,0.8228974498100923
5,0.60752059238534,0.45138280565636346,0.5206252713851498,0.5972027972027971,0.5519482868823792,0.5377430216139893
6,0.6180371352785146,0.5092502434274586,0.5311991318502441,0.8541596334699784,0.8332609639600521,0.8472148541114058
7,0.8611044128285508,0.4851889683350358,0.6906701422830455,0.8957881024750325,0.920130222463375,0.9027590198726606
8,0.884804188938584,0.6227989328159107,0.7776812852800694,0.9375,0.9270824542155456,0.934020618556701
