subject,CSP_LinearDiscriminantAnalysis,CSP_nbpw,CSP_XGBClassifier,FBCSP_LinearDiscriminantAnalysis,FBCSP_nbpw,FBCSP_XGBClassifier
0,"[[92, 52], [47, 97]]","[[55, 89], [56, 88]]","[[81, 63], [60, 84]]","[[116, 28], [28, 116]]","[[113, 31], [22, 122]]","[[115, 29], [23, 121]]"
1,"[[78, 66], [75, 69]]","[[138, 6], [141, 3]]","[[67, 77], [66, 78]]","[[76, 68], [77, 67]]","[[84, 60], [74, 70]]","[[74, 70], [68, 76]]"
2,"[[112, 32], [39, 105]]","[[129, 15], [126, 18]]","[[100, 44], [43, 101]]","[[122, 22], [26, 118]]","[[126, 18], [26, 118]]","[[124, 20], [19, 125]]"
3,"[[92, 52], [56, 88]]","[[30, 114], [35, 109]]","[[79, 65], [77, 67]]","[[85, 59], [46, 98]]","[[83, 61], [51, 93]]","[[86, 58], [47, 97]]"
4,"[[85, 59], [60, 84]]","[[22, 122], [26, 118]]","[[74, 70], [77, 67]]","[[116, 28], [27, 117]]","[[120, 24], [33, 111]]","[[117, 27], [24, 120]]"
5,"[[85, 59], [54, 90]]","[[23, 121], [16, 128]]","[[78, 66], [72, 72]]","[[85, 59], [57, 87]]","[[82, 62], [67, 77]]","[[73, 71], [62, 82]]"
6,"[[90, 54], [56, 88]]","[[60, 84], [56, 88]]","[[75, 69], [66, 78]]","[[124, 20], [22, 122]]","[[117, 27], [21, 123]]","[[121, 23], [21, 123]]"
7,"[[125, 19], [21, 123]]","[[108, 36], [104, 40]]","[[104, 40], [49, 95]]","[[132, 12], [18, 126]]","[[131, 13], [10, 134]]","[[128, 16], [12, 132]]"
8,"[[138, 6], [27, 117]]","[[101, 43], [65, 79]]","[[115, 29], [35, 109]]","[[135, 9], [9, 135]]","[[134, 10], [11, 133]]","[[133, 11], [8, 136]]"
