,accuracy,precision,recall,f1,auc,confusion_matrix
0,0.8333333333333334,0.8349486334560962,0.8333333333333334,0.8331321519965236,0.9077449845679013,"[[115, 29], [19, 125]]"
1,0.5277777777777778,0.5278637770897833,0.5277777777777778,0.5274131274131274,0.5354456018518519,"[[80, 64], [72, 72]]"
2,0.8611111111111112,0.8613899613899614,0.8611111111111112,0.8610843141038009,0.9366319444444444,"[[126, 18], [22, 122]]"
3,0.6354166666666666,0.6362114964831433,0.6354166666666667,0.6348840297984859,0.6943962191358025,"[[86, 58], [47, 97]]"
4,0.8159722222222222,0.8167206458162131,0.8159722222222222,0.8158634417033597,0.9129050925925926,"[[121, 23], [30, 114]]"
5,0.5798611111111112,0.579895788102475,0.5798611111111112,0.5798155181768856,0.6078800154320988,"[[85, 59], [62, 82]]"
6,0.8402777777777778,0.8405405405405405,0.8402777777777777,0.840246961219371,0.9383198302469137,"[[119, 25], [21, 123]]"
7,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.9730902777777778,"[[132, 12], [12, 132]]"
8,0.9409722222222222,0.9409934892693513,0.9409722222222222,0.9409715105554417,0.9773582175925927,"[[135, 9], [8, 136]]"
