subject,CSP_LinearDiscriminantAnalysis,CSP_nbpw,CSP_XGBClassifier,FBCSP_LinearDiscriminantAnalysis,FBCSP_nbpw,FBCSP_XGBClassifier
0,0.6163194444444444,0.5267361111111111,0.5475694444444446,0.7340277777777778,0.7253472222222221,0.7326388888888888
1,0.5199142156862745,0.4962622549019608,0.4811478758169935,0.49752859477124184,0.5195669934640523,0.5052696078431372
2,0.6545138888888888,0.5309027777777778,0.5961805555555555,0.6784722222222221,0.6986111111111111,0.7052083333333334
3,0.714527027027027,0.6446978228228228,0.6521208708708709,0.7589245495495496,0.7244744744744744,0.7568975225225225
4,0.6062406156156156,0.5626501501501502,0.5549268018018018,0.8153246996996997,0.7963119369369369,0.8175394144144145
5,0.5440972222222222,0.5204861111111112,0.48958333333333326,0.6472222222222221,0.6246527777777777,0.6239583333333333
6,0.5583333333333333,0.48888888888888893,0.5190972222222222,0.7986111111111112,0.7798611111111111,0.7909722222222222
7,0.8108187134502924,0.6306286549707603,0.71390716374269,0.8091008771929824,0.8113852339181287,0.8119152046783625
8,0.7711805555555555,0.6340277777777777,0.7145833333333333,0.8409722222222222,0.8114583333333334,0.8385416666666667
