subject,CSP_LinearDiscriminantAnalysis,CSP_nbpw,CSP_XGBClassifier,FBCSP_LinearDiscriminantAnalysis,FBCSP_nbpw,FBCSP_XGBClassifier
0,0.6166298072784122,0.526852583663188,0.547586647156334,0.7340785907859079,0.7260089026229628,0.7329307350955045
1,0.5199427866978393,0.4613013414676721,0.4810715036414945,0.49752101604417,0.5198392617172404,0.5052587177218847
2,0.6550353074720581,0.5389742187900428,0.5961853280818799,0.678611954813501,0.6991764154874525,0.7054113202677166
3,0.7146030570688104,0.6416637446512246,0.6523016747504156,0.7605046001100816,0.7267412541347743,0.7573447007783966
4,0.6062799102765573,0.5577229592776856,0.5549359967537573,0.815336850312155,0.7974677785700226,0.8176197839108488
5,0.5441187842511226,0.5357187586103248,0.4895084433229814,0.6474787468166633,0.6252843793526424,0.6240988035823043
6,0.5583407937144885,0.48822381507826573,0.5191046767761501,0.7987212796580194,0.7804039469388427,0.791079115048659
7,0.8111464870591565,0.6328413118383327,0.7142848995328207,0.8094828216126573,0.8116141564442894,0.8121473121473122
8,0.7755433886585086,0.6399579837888028,0.7148301361507592,0.8409873132485493,0.8221703970279499,0.8386593450028563
