subject,CSP_LinearDiscriminantAnalysis,CSP_nbpw,CSP_XGBClassifier,FBCSP_LinearDiscriminantAnalysis,FBCSP_nbpw,FBCSP_XGBClassifier
0,0.6564386075032591,0.4963353183692167,0.5729483282674772,0.8055555555555556,0.8172113289760349,0.8200000000000001
1,0.5104575163398692,0.4139784946236559,0.5034926024739268,0.49651416122004355,0.5350535540408958,0.5208373528844299
2,0.7540726059844347,0.5256684491978609,0.6979262117193151,0.8335907335907335,0.848297213622291,0.8646009163250542
3,0.625096525096525,0.4751638496033115,0.506993006993007,0.636529391744056,0.6116495444853653,0.6362114964831433
4,0.5868097419821557,0.475,0.48955866002803694,0.8090426814564745,0.8032679738562092,0.823056882327399
5,0.6077688185022452,0.551899907321594,0.5208695652173914,0.5972409801273394,0.5521462025010864,0.5383442265795206
6,0.6180783330117692,0.5144346431435445,0.5312635692574903,0.8542349990353078,0.8339130434782609,0.8472892147404978
7,0.8611807833301177,0.5178748758689176,0.6917211328976035,0.8965217391304348,0.9203213200173687,0.9030888030888031
8,0.8937915742793792,0.6279873592731582,0.7782608695652173,0.9375,0.9271039305522064,0.9342162396873643
