subject,CSP_LinearDiscriminantAnalysis,CSP_nbpw,CSP_XGBClassifier,FBCSP_LinearDiscriminantAnalysis,FBCSP_nbpw,FBCSP_XGBClassifier
0,0.7041859567901235,0.5151427469135803,0.6079764660493827,0.8935185185185186,0.8963879243827161,0.8927710262345678
1,0.529248649691358,0.46031057098765427,0.4892457561728395,0.5250289351851852,0.554615162037037,0.5256076388888888
2,0.8434606481481481,0.5418354552469136,0.7833478009259259,0.9298562885802469,0.9252507716049384,0.9252266589506173
3,0.6726224922839507,0.43882619598765427,0.4925009645061728,0.6948061342592593,0.6716579861111112,0.6782407407407407
4,0.6128713348765433,0.45785108024691357,0.505907600308642,0.8872733410493827,0.8820891203703703,0.9118923611111112
5,0.6198881172839507,0.5294656635802468,0.5652488425925926,0.625048225308642,0.5954137731481481,0.5920862268518519
6,0.6564187885802469,0.5164930555555555,0.5141059027777778,0.9253713348765432,0.9145688657407409,0.9293740354938271
7,0.9495081018518519,0.5474778163580246,0.7631655092592593,0.9697145061728396,0.9611545138888888,0.9653260030864197
8,0.9340036651234568,0.6713927469135803,0.8390480324074073,0.978298611111111,0.9692081404320987,0.9746817129629629
