subject,CSP_LinearDiscriminantAnalysis,CSP_nbpw,CSP_XGBClassifier,FBCSP_LinearDiscriminantAnalysis,FBCSP_nbpw,FBCSP_XGBClassifier
0,0.65625,0.4965277777777778,0.5729166666666667,0.8055555555555556,0.8159722222222222,0.8194444444444444
1,0.5104166666666666,0.48958333333333337,0.5034722222222222,0.4965277777777778,0.5347222222222222,0.5208333333333333
2,0.7534722222222222,0.5104166666666667,0.6979166666666666,0.8333333333333333,0.8472222222222222,0.8645833333333334
3,0.625,0.4826388888888889,0.5069444444444444,0.6354166666666667,0.6111111111111112,0.6354166666666667
4,0.5868055555555556,0.4861111111111111,0.4895833333333333,0.8090277777777778,0.8020833333333334,0.8229166666666667
5,0.6076388888888888,0.5243055555555556,0.5208333333333333,0.5972222222222222,0.5520833333333333,0.5381944444444444
6,0.6180555555555556,0.513888888888889,0.53125,0.8541666666666667,0.8333333333333333,0.8472222222222222
7,0.8611111111111112,0.5138888888888888,0.6909722222222222,0.8958333333333333,0.9201388888888888,0.9027777777777777
8,0.8854166666666667,0.625,0.7777777777777778,0.9375,0.9270833333333334,0.9340277777777778
